text,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,sentiment
"Congress, constitution and the supreme court is the curses of India.",3.0,2.0,2.0,2.0,4.0,Negative
"Despite of your Explanation, i strongly support this bill.  Democracy spoiled my country these many years .",3.0,4.0,3.0,2.0,4.0,Negative
"One Nation One election, we should try, because even though we say regional party focus on local issues, but seldom solved, they keep them dragging.

I feel ONOE and also twiking on model code and also reduced power of elected representatives, fix responsibility of judiciary is need of the hour",4.0,5.0,3.0,4.0,3.0,Negative
BJP didnt lose UP LS elections seats because of dissatisfaction on yogiji. It was because of false propaganda on caste reservation. So please rephrase your wordings.,2.0,4.0,3.0,3.0,3.0,Negative
The arguments against One Nation One Election are all stupid.,3.0,2.0,4.0,2.0,2.0,Negative
"Seems like a prejudiced coverage. Problem here is you are not trying to be honest, but trying to be secular in terms of political views.",3.0,2.0,3.0,2.0,4.0,Negative
I couldn't believe that this already wasn't the case in this country. If the elections itself are so chaotic then the governments will be chaotic and therefore the entire country will be chaotic.,2.0,3.0,2.0,2.0,4.0,Negative
So all fools will vote once and other fools will be leceted once,2.0,2.0,2.0,1.0,3.0,Negative
Well it's essential because of politics which is operating with vested interests. Why such selfish views how many wants to goes into millions of people money. It's shame for development.,3.0,4.0,2.0,3.0,4.0,Negative
"Number 3 is the main concern 
. As said by opposition 
Loss of accountability.",3.0,2.0,3.0,2.0,4.0,Negative
"Dude looks like your research is getting biased slowly, see the video again and again and find out the places you are contradicting yourself. Time to unsubscribe you",3.0,4.0,2.0,2.0,4.0,Negative
See Odisha and Andhra Pradesh and talk. Whoever is opposing this has ill feelings towards nation. How Owaisi was saying this is dangerous to regional parties. If you work properly people will vote you only if you contest once along with national elections or separately also.,2.0,3.0,4.0,2.0,3.0,Negative
"Common, one nation - one election may change the country and cost cutting, which can be spent on some development. Local political parties are draining state budgets and throwing state into debts.",3.0,4.0,3.0,2.0,4.0,Negative
But i think now the days biggest problem for india is politicians.,3.0,2.0,3.0,2.0,4.0,Negative
State and Center elections are fought on different issues so they cannot influence people. Delhi voted BJP in all the 7 seats and AAP was given mandate in the last two elections. People know what they are voting for. The only losers in the ONOE are Youtubers and mainstream media.,2.0,4.0,3.0,3.0,2.0,Negative
Regional parties are curse to the nation. Almost all are run dynasty and controlled by a family which never democratically elect their president. It is ironical that same parties are crying that ONOE is not democratic. This debate is a waste of time.,2.0,4.0,3.0,2.0,3.0,Negative
I think the advantages overpower the disadvantages.,3.0,4.0,3.0,4.0,2.0,Negative
"Leftist are dengerious of indian culture, indian society, indian security",2.0,3.0,2.0,1.0,4.0,Negative
It is neither masterstroke or death of democracy.  It is death of double standards or end of deception by political parties. For eg in Kerala CPM and Cong will have to team up or fight each other. They can't fight each other in state while become allies in the center.,3.0,4.0,3.0,3.0,2.0,Negative
Blocking your channel,2.0,3.0,2.0,2.0,4.0,Negative
Local issues won't be addressed in  One election bill. It will sum up creating chaos and further hollow our economy from within.,3.0,4.0,3.0,2.0,4.0,Negative
"For everything, you youtubers just keep killing democracy.",2.0,2.0,4.0,2.0,4.0,Negative
Those who are opposing the bill are either extremely idiots or are extremely crooked.,2.0,2.0,4.0,1.0,4.0,Negative
"If we cannot  implement ""One Nation one election"" then we should declare ourselves as idiots.  All the opposition points have some basis but those are insignificant and solvable as compared to the benefit that it will bring to our country.",3.0,4.0,3.0,3.0,2.0,Negative
We literally expect non biased review from you but Today you are fail in that.,2.0,3.0,4.0,2.0,2.0,Negative
"Your opinion is seeming now very biased 
Constantly chanting mid term election point. 
In today's rules there are also mid term election rules. 
So stop giving  biased review brother.",2.0,4.0,3.0,2.0,3.0,Negative
This is a very biased video.....more towards one party.....a stereotype video which says that it is unbiased but we know how it is..... I really request you to analyse more.,2.0,4.0,3.0,2.0,3.0,Negative
"According to opposition, whatever BJP does is threat to nation 
They need to understand if they criticise everything for political sake then their criticism won't be taken seriously neither by the government and not even by the public.",2.0,3.0,3.0,2.0,4.0,Negative
Sorry bhai tera opinion biased hai. ONOE toh hoga,3.0,3.0,3.0,3.0,2.0,Negative
"It's too late for now... We are heading towards dictatorship, one nation one election is the first step towards it. Even last election was all fixed, they are making people fool...",2.0,2.0,3.0,2.0,4.0,Negative
"ONOE undermines or ignores the complexity, diversity, practicality, constitutionality, and local issues of a diversely populated, federally structured country.",2.0,4.0,2.0,2.0,3.0,Negative
What's more concerning is People of india supporting this narrative.,3.0,3.0,3.0,3.0,4.0,Negative
Regional Parties are not doing any good anyways...,3.0,2.0,2.0,3.0,2.0,Negative
"Think school wants to support bjp and think they r getting compensation for doing so but they don't know slowly even they will be hurt so bad that they Will regret all their life for what they have done. Sick, shame and dumb actually",3.0,1.0,3.0,2.0,5.0,Negative
"It should be implemented because then the governments focus on survival for the full term by focusing on development. At least they have a fear of losing their tenure.The inter purchase of the MLAs by the opposition party will stop. So, don't think about the mid term election,it will reduce.",3.0,5.0,3.0,3.0,2.0,Negative
"I would honestly not want a one nation, one election bill. There are far more important bills like the one that curbs the irrationally extreme power granted to the WAQF board.",3.0,4.0,2.0,3.0,2.0,Negative
This bloody BJP GOVERNMENT have indulged in another nefarious by one nation one election. This was inaugurated by a set of scroundels and what not a coward like modi.,2.0,2.0,4.0,1.0,4.0,Negative
Democracy is the 2nd most misused and misunderstood word in India.,3.0,4.0,3.0,4.0,2.0,Negative
The oppositions arguments are dull. We have enough examples in our country against their claims.  ONOE is a game changer and will increase the efficiency of elections.,3.0,4.0,3.0,3.0,2.0,Negative
"Another cheap thumbnail  to attract views.

Way poor analysis while presenting. Think Scholl is dropping it's standards",2.0,2.0,3.0,2.0,4.0,Negative
"China and USA are going once in election then back to work, as result of everyday election, india still developing country. And all the logic are not worth it.",2.0,3.0,3.0,2.0,4.0,Negative
Multiple elections held because it actually shows problem of poor people time to time. If one election came we will be no longer to see that problem.,2.0,3.0,3.0,2.0,4.0,Negative
Depends on what this democracy we are crying about has achieved in the years after independence. If it has achieved nothing then democracy is basically not working,3.0,4.0,2.0,3.0,2.0,Negative
Improve your misleading thumbnail do not spread rumors,2.0,4.0,2.0,4.0,3.0,Negative
Not a good idea...,3.0,3.0,3.0,3.0,2.0,Negative
It's a really really dengerous move... To people who know this is how dictatorship starts.,2.0,5.0,3.0,2.0,4.0,Negative
In think problems are just over thinking,2.0,3.0,2.0,4.0,1.0,Negative
"One nation one election is a joke.... If  party in power breaks or there is death of MP, MLA then election will have to be conducted again",3.0,2.0,4.0,3.0,2.0,Negative
Tired of manipulating every election either by fraud or defection. This will make it easier.,2.0,2.0,2.0,2.0,4.0,Negative
Death of democracy modi is dangerous then British,3.0,2.0,2.0,2.0,4.0,Negative
Clearly the second point laid out by the opposition is flawed clear example of it will be delhi in 2014 where bjp swept the lok sabha elections but AAP swept the state elections,2.0,3.0,3.0,3.0,2.0,Negative
Offcourse it is a death of democracy.,2.0,2.0,2.0,1.0,5.0,Negative
I not happy with Tax Slab please opposition party do something,3.0,2.0,3.0,4.0,3.0,Negative
"Election is a time effort and money consuming project. Instead of OnOe why not have two elections, one during Lok Sabha plus top 15 performing states Vidhan Sabhas and second at 2.5yrs milestone for remaining Vidhan Sabhas.",3.0,5.0,3.0,4.0,2.0,Negative
I don't know much about the politics but I'm not in favour of this coz I like the holidays I get because of elections,2.0,2.0,3.0,4.0,2.0,Negative
"Change your thumbnail pic, it is so biased in so many levels",3.0,4.0,3.0,2.0,3.0,Negative
"If people are stupid enough to not see the difference between state and central election, then election was always a farce.. 

I personally think Indian mindset will not change due to same day election. Since one of the largest content segment is political news..",2.0,2.0,3.0,2.0,4.0,Negative
Opposition point should be told first. You are playing too safe by first playing government narrative and then coming to the attack on federal structure of India.,3.0,4.0,3.0,3.0,2.0,Negative
"Beurocratic nonsense democracy.  This country is of diversity. They experiment and shooting up price. Loot endless tax only from common man, and the rich are going richer. All nonsense",2.0,2.0,2.0,1.0,4.0,Negative
In most the cases the state level issues are remains same. Local or Regional parties just want to use these issues for election campaign. It is difficult but not impossible. CHANGE is is the only thing which remains CONSTANT.,2.0,4.0,3.0,4.0,2.0,Negative
This ONE NATION ONE ELECTION  bill  will be a burden on tax payers this bill  should not be passed . And those who are supporting this bill most of them are not even in the tax slab .,2.0,4.0,3.0,2.0,2.0,Negative
We should reduce wastage of money and opposition just opposes everything govt does. Any change can cause confusion for once or twice but people of India are smart enough to understand and adapt to change.,3.0,4.0,3.0,4.0,2.0,Negative
"Online transaction and UPI everybody thought it will fail miserably but , it become a life to the payment system. The older system didn't help ua any better.",3.0,3.0,3.0,3.0,2.0,Negative
"You are wrong. Synchronization happens after 2029, and ONOE happens from 2034 not on 2029.. Stop sharing wrong info",2.0,4.0,3.0,2.0,4.0,Negative
India going wrong directions,3.0,2.0,3.0,2.0,4.0,Negative
One Nation One Election will have devastating impact on the fabric of democracy. A country doesn't work like a corporate entity with sole focus on productivity and efficiency.,3.0,3.0,2.0,5.0,4.0,Negative
Democracy is the biggest curse of India.,2.0,2.0,3.0,2.0,4.0,Negative
You forgot to mention creditors and businesses too get stuck in this and make it difficult to operate for them,3.0,4.0,3.0,4.0,2.0,Negative
This illiterate prime Minister digging he's own grave and he don't even know that,2.0,2.0,4.0,2.0,4.0,Negative
While we have risk for regional parties but during the campaign need to need ensure to discuss about local issues instead of national flooding their campaign,2.0,4.0,3.0,4.0,2.0,Negative
There should be only one election in 5 years to save crores of rupees. After Independence we used to have only one election in 5 years. But due to lack of proper planning elections are happening some where with in India frequently there by wasting not only money but also valuable time.,3.0,5.0,3.0,4.0,2.0,Negative
I am seeing an utterly useless analysis from your end for the first time. don't know what you snorted this time.,2.0,2.0,4.0,2.0,4.0,Negative
one nation one election is totally a scam.,3.0,2.0,4.0,2.0,3.0,Negative
"Reduce cost,.. thats all..
Anyway all other problems are existing now also",2.0,4.0,2.0,3.0,2.0,Negative
Is there any change in Central when there is a change in State. No nothing happened.  The problem is comprising on non anti forces,2.0,3.0,2.0,3.0,2.0,Negative
"All states always have issues so that parties can use that issues to earn votes. Kaveri, fisherman issues exists from last 20 years but nothings changed. It is like the cases in our indian courts.",2.0,3.0,3.0,2.0,4.0,Negative
"This shows issues with governance needs to be improved, not election model",3.0,5.0,3.0,5.0,2.0,Negative
Very poor research...listen to lecture of Dr vikas divyakriti for more indept insightful information,2.0,2.0,2.0,3.0,3.0,Negative
