author,updated_at,like_count,text,video_id,public
@akplays7577,2025-02-26T02:33:22Z,0,For sure it will bring the dictatorship like north Korea,nNbphew2mpU,TRUE
@masudmolla627,2025-02-25T19:35:32Z,1,Godi media,nNbphew2mpU,TRUE
@R20-Maximus,2025-02-25T10:29:37Z,0,"we need a one party,one election,one leader for Development.

Jai Hind",nNbphew2mpU,TRUE
@TanishqPotnis-n7p,2025-02-23T11:56:26Z,0,Haryana,nNbphew2mpU,TRUE
@chitranshkulshrestha-p4w,2025-02-23T11:04:18Z,0,hello sir thank you for this video but i have a request i have a debate on this topic so can you share the research material with us,nNbphew2mpU,TRUE
@DChethan-ph9zs,2025-02-22T11:56:35Z,0,"My dream of this tenure. 
UNSC permanent seat
One nation One election
UCC all over India
And more",nNbphew2mpU,TRUE
@mahiegoel2776,2025-02-21T12:49:55Z,0,"Can somebody explain the ""Minor tweak"" in MCC, that would help, i didn't quite get that",nNbphew2mpU,TRUE
@sonal2117,2025-02-15T13:02:38Z,0,"In a world where wars are happening and leaders and giants like elon musk and donald trump are rising, it is much better to focus on national issues and sovereignty of india. We all have been focusing on internal politics of India for so long and it only has resulted in conflicts between center and states, chaos, and drama. Moreover regional problems like farmer issues do not actually get resolved on long term and they often rely on freebies provided by local governments .",nNbphew2mpU,TRUE
@sameerprashadgond9953,2025-02-14T19:48:07Z,0,Those 2 years may provide the govermnet to work and prove that they were the choice that people should have gone with and to vote for them in the next elections.,nNbphew2mpU,TRUE
@pradeeprakkiyappan7199,2025-02-12T18:48:06Z,0,Think about the resources requirements and people movement during that time.,nNbphew2mpU,TRUE
@Introvertboy-k9p,2025-02-10T11:14:33Z,0,"Congress, constitution and the supreme court is the curses of India.",nNbphew2mpU,TRUE
@maximjupiter8090,2025-02-01T14:56:13Z,1,think school comment section is one of the most intellectual one  i have ever seen,nNbphew2mpU,TRUE
@sumitkumarahluwalia,2025-01-31T16:09:00Z,0,Very well explained...good video..,nNbphew2mpU,TRUE
@thanos2496,2025-01-30T13:54:03Z,1,Free ki ravdi mai kami aayegi agar ye aa gya to,nNbphew2mpU,TRUE
@Personalhandle,2025-01-29T08:17:06Z,1,"Brother in Odisha we do have both elections in one time from many years, trust me it's great for our nation",nNbphew2mpU,TRUE
@GuruShiju,2025-01-28T14:38:02Z,0,Lernmoreswark,nNbphew2mpU,TRUE
@deepanshgoswami3630,2025-01-28T04:04:20Z,0,I am with one nation one election but it shouldn't be like usa type presidential election,nNbphew2mpU,TRUE
@varunrana682,2025-01-27T16:43:26Z,0,Not gonna vote after ur movie,nNbphew2mpU,TRUE
@acousticlove5578,2025-01-27T15:21:18Z,0,UNSUBSCRIBED,nNbphew2mpU,TRUE
@abhishekverma7256,2025-01-26T20:14:33Z,0,German shepherd different face,nNbphew2mpU,TRUE
@dibyadnr7460,2025-01-26T09:28:33Z,0,It is a threat to democracy,nNbphew2mpU,TRUE
@sta1RR,2025-01-26T04:46:09Z,0,BENEFITS ARE MORE CLEARLY.,nNbphew2mpU,TRUE
@MajoNalo,2025-01-24T17:50:48Z,0,Im also opposing,nNbphew2mpU,TRUE
@pradeepsoni1343,2025-01-23T17:18:50Z,0,Jaise gst ne vaat lagayi vaise modi ki proyag sala hai jo marji aaya karte jao middle class ki band bajate jao,nNbphew2mpU,TRUE
@Inquisitive.-,2025-01-22T08:57:08Z,0,I would go on to an extent to say that you are the smartest youtuber of india,nNbphew2mpU,TRUE
@aswinaswi7424,2025-01-21T18:05:08Z,0,Local issues will Speak for Local Body Election,nNbphew2mpU,TRUE
@ChanakyanStudent7971,2025-01-19T11:24:45Z,0,Opposition is determined to stop India's growth at any cost.,nNbphew2mpU,TRUE
@deepakYadav1-h9d,2025-01-16T07:07:25Z,1,in my opinion current voting system is more accountable to the people of India than one nation one election.,nNbphew2mpU,TRUE
@aryansaraogi3284,2025-01-15T18:41:06Z,0,"As for the argument of a mid term election, a gov who focusses on short term political gains would be a fool. Only because think about it for a sec, if the opposition party has been removed due to its incompetency then the probability that this government stays for more than 2 years is also very high.",nNbphew2mpU,TRUE
@rahavadhithya3375,2025-01-13T18:51:16Z,0,"Despite of your Explanation, i strongly support this bill.  Democracy spoiled my country these many years .",nNbphew2mpU,TRUE
@rakeshmenaria2010,2025-01-13T04:23:39Z,0,Sir please ye vala hindi vale channel pr bhi share kro upsc ka sawal he or mere hindi medium he or kafi sare log hindi medium se isko samjhna chahenge,nNbphew2mpU,TRUE
@AIIMSDelhi-yz5du,2025-01-10T11:08:14Z,1,People can vote for both centre and state at the same time as they know their interest very well.. With this literacy rate it would not be difficult  .it is the,nNbphew2mpU,TRUE
@RedpandaJourney,2025-01-10T07:50:36Z,0,Odisha has simultaneous elections. And basically this is how we do it here. Every voter casts 2 votes.,nNbphew2mpU,TRUE
@rsivakumar9221,2025-01-10T07:18:41Z,0,"One Nation One election, we should try, because even though we say regional party focus on local issues, but seldom solved, they keep them dragging.

I feel ONOE and also twiking on model code and also reduced power of elected representatives, fix responsibility of judiciary is need of the hour",nNbphew2mpU,TRUE
@sanjayarihant9014,2025-01-09T08:40:00Z,0,One national one election is right,nNbphew2mpU,TRUE
@miraclexstar1000,2025-01-09T03:05:08Z,0,"Lets think for the country rather than fighting the party in rule, ONE NATION ONE ELECTION is the right for INDIA",nNbphew2mpU,TRUE
@sameerumardand4947,2025-01-08T10:06:16Z,0,BJP didnt lose UP LS elections seats because of dissatisfaction on yogiji. It was because of false propaganda on caste reservation. So please rephrase your wordings.,nNbphew2mpU,TRUE
@almondespa,2025-01-07T06:25:57Z,1,After One nation one election Netas will only be seen after 5 years so yeah.,nNbphew2mpU,TRUE
@shivpatel1445,2025-01-06T07:01:51Z,0,"Nice informative video , thanks",nNbphew2mpU,TRUE
@IamSumitKr,2025-01-05T20:01:38Z,0,I was thinking the same thing you said at the end. Just fix the model code of conduct.,nNbphew2mpU,TRUE
@puNKSTER70,2025-01-05T15:54:00Z,0,Start of dictatorship,nNbphew2mpU,TRUE
@kmsgn6935,2025-01-05T09:56:34Z,0,U have not considered the point that voting percentage will be high in case of one nation one election,nNbphew2mpU,TRUE
@hoshangd6005,2025-01-05T06:14:21Z,0,Nothing new,nNbphew2mpU,TRUE
@mothish.,2025-01-03T16:09:34Z,0,Soon they will come up with one nation one language and impose Hindi,nNbphew2mpU,TRUE
@adityaisgreat21,2025-01-03T06:05:16Z,0,The arguments against One Nation One Election are all stupid.,nNbphew2mpU,TRUE
@Infinite_view,2025-01-03T04:49:09Z,0,Don't add speeches click between content. It divert over content.,nNbphew2mpU,TRUE
@monishyadav3045,2025-01-03T03:42:00Z,0,Arguments based on inadequate information.....,nNbphew2mpU,TRUE
@soumya5638,2025-01-02T16:58:01Z,0,"In my state odisha, the BJD party chief Shree Naveen pattnaik rules odisha for 5th consecutive term. He is the longest serving CM of india. He's nearly undefeatable in the state. There prescence in local politics is more then any national party. And for the information in our odisha the state and national election happen at a time. In the same booth we vote both for the centre and state. But this time the BJP took over the seat of CM. Then how can they say that the local problems is not came into limelight and regional parties are dimminised if this ONOE is applied. Then how a regional party like BJD ruled from 1999 to 2024.",nNbphew2mpU,TRUE
@ishurai6116,2025-01-02T05:33:13Z,0,Your facts are good but you're biased,nNbphew2mpU,TRUE
@saikrishnateja1351,2025-01-02T04:19:50Z,0,Instead of just imagining if you would have taken the real case scenario of andhra pradesh where lok sabha and state election happen simultaneously yours claims would have been more valid. All the situations you have spoken about in the video in reality are nothing to be worried about as it is proven in the case of andhra pradesh where Lok,nNbphew2mpU,TRUE
@Knkteja1897,2025-01-02T02:58:54Z,0,One nation one problem is NDM,nNbphew2mpU,TRUE
@FogL_live,2025-01-02T02:24:40Z,0,"Jab dhruv rathee bol rha tha tab toh use german shepard kehke troll kiya,,hla ki wo to germany mein settle hai,,Mai Canada mein hu,,lekin India wapis aana chahta hu pr pta ni kab India k haalat sudherenge",nNbphew2mpU,TRUE
@vigneshwarp3462,2025-01-01T17:59:56Z,0,"Seems like a prejudiced coverage. Problem here is you are not trying to be honest, but trying to be secular in terms of political views.",nNbphew2mpU,TRUE
@SiddharthVarman,2025-01-01T14:22:50Z,1,"It could stop some from voting across states - we all know some of the vote bank have voter ID cards in two neighbouring states. Those who live in one part of the country, can travel to theirs to caste the vital vote vs. not being able to for work or what not.",nNbphew2mpU,TRUE
@sigma_male_927,2025-01-01T09:39:02Z,0,"India need regional parties with National parties, Northies will control South and most of the people in the high command is from the north, there will be less south representatives if this happens",nNbphew2mpU,TRUE
@pednekarprashant123,2025-01-01T00:09:54Z,1,"You did not mentioned what changes can be done in model code of conduct. Every transformation has initial hiccups. Look at China for example, in their initial stage of transformation, millions of people died due to failed experiment in policies. In India's case atleast people are not going to die if elections are held simultaneously. BJP is the only party who has some long term vision for country's growth and development. We should allow them to make changes in the system, and wait for few years to see it's impact.",nNbphew2mpU,TRUE
@anandkamatagi7953,2024-12-31T21:53:15Z,0,Beautiful analysis,nNbphew2mpU,TRUE
@shankarmurthy8712,2024-12-31T15:26:36Z,0,"Not death of Democracy,  
U people wants congress backs that's it",nNbphew2mpU,TRUE
@bangband1,2024-12-31T14:48:34Z,0,I couldn't believe that this already wasn't the case in this country. If the elections itself are so chaotic then the governments will be chaotic and therefore the entire country will be chaotic.,nNbphew2mpU,TRUE
@chandkumar9589,2024-12-31T14:29:51Z,0,Shadow the regional issues and people concern might led to centralization,nNbphew2mpU,TRUE
@ponnoospk3445,2024-12-31T10:50:24Z,0,So all fools will vote once and other fools will be leceted once,nNbphew2mpU,TRUE
@prkshay_01,2024-12-31T09:52:13Z,0,"I believe that one parliamentary election should be there and seperately one election for all state assemblies and local bodies should take place, so that central issues and state issues can be settled also there should be at least 2-3 years gap in both the elections, so in 5 years only 2 elections would be there rather than 2 elections every year",nNbphew2mpU,TRUE
@Sanket-z7v,2024-12-31T06:55:19Z,0,Thanks for the detailed clarification with the crystal clear examples ,nNbphew2mpU,TRUE
@preethavenkatraman8501,2024-12-30T15:23:29Z,14,"Nice video. I agree with one Nation one election. I have lived in Sweden and currently living in Finland. Here the regional, municipal and national election happen on the same day. It is easy for the voters too. People can differentiate between the two. So for the greater good this is a good option",nNbphew2mpU,TRUE
@shekarv7528,2024-12-30T15:06:12Z,0,Well it's essential because of politics which is operating with vested interests. Why such selfish views how many wants to goes into millions of people money. It's shame for development.,nNbphew2mpU,TRUE
@cmaaspirantsandipkumarrath,2024-12-30T12:11:22Z,0,It's good for india considering every factor,nNbphew2mpU,TRUE
@RR-pg3hw,2024-12-30T06:16:36Z,0,"Whether the present form or the proposed form one nation one election, there is absolutely zero accountability from any party, not a single party is thinking of the future of India or its nationals, they are just eager to be in position make money and leave the rest to rot. The problems from the agrarian background or the middle-class city dwellers remain on paper, which is a very sad state of affairs for a so-called economically emerging nation. 
Somehow, I have lost faith in any political party. No one wants to address the core issues, and every problem is dealt with superficially.",nNbphew2mpU,TRUE
